landmark_id,name,supercategory,location,latitude,longitude,category
161,Lime Kiln Point State Park,Washington state park,"San Juan Island,San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region",48.5153,123.15,http://commons.wikimedia.org/wiki/Category:Lime_Kiln_Point_State_Park
239,Illahee State Park,Washington state park,"Kitsap County,Washington,Pacific Northwest,Washington,Pacific States Region",47.5981,122.598,http://commons.wikimedia.org/wiki/Category:Illahee_State_Park
262,Comet Falls,waterfall,"Mount Rainier National Park,Lewis County,Washington,Pacific Northwest,Washington,Pacific States Region",46.7958,121.78,http://commons.wikimedia.org/wiki/Category:Comet_Falls
291,"St. Andrews Episcopal Church (Chelan, Washington)",church building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.84,120.018,"http://commons.wikimedia.org/wiki/Category:St._Andrews_Episcopal_Church_(Chelan,_Washington)"
517,Titlow Beach,landform,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region",47.247,122.553,http://commons.wikimedia.org/wiki/Category:Titlow_Beach
763,St. Demetrios Greek Orthodox Church (Seattle),church building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.6383,122.30799999999999,http://commons.wikimedia.org/wiki/Category:St._Demetrios_Greek_Orthodox_Church_(Seattle)
769,Beckler Peak,mountain,"King County,Washington,United States",47.736497222222226,121.28926944444444,http://commons.wikimedia.org/wiki/Category:Beckler_Peak
798,"Granite Mountain (King County, Washington)",mountain,"King County,Washington,United States",47.41744444444444,121.48144722222223,"http://commons.wikimedia.org/wiki/Category:Granite_Mountain_(King_County,_Washington)"
1139,Lake Whatcom,lake,"Washington,Whatcom County,United States",48.73305555555556,122.32805555555555,http://commons.wikimedia.org/wiki/Category:Lake_Whatcom
1255,"Bryant, Seattle, Washington",neighborhood,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.672399999999996,122.28399999999999,"http://commons.wikimedia.org/wiki/Category:Bryant,_Seattle,_Washington"
1528,Dome Peak,mountain,"Washington,Pacific Northwest,Washington,Pacific States Region",48.303399999999996,121.03,http://commons.wikimedia.org/wiki/Category:Dome_Peak
1554,Potholes Reservoir,reservoir,"Washington,Pacific Northwest,Washington,Pacific States Region",46.9825,119.2911111111111,http://commons.wikimedia.org/wiki/Category:Potholes_Reservoir
1633,"Lincoln Theatre (Mount Vernon, Washington)",movie theater,"Mount Vernon,Skagit County,Washington,Pacific Northwest,Washington,Pacific States Region",48.41811388888889,122.33856944444445,"http://commons.wikimedia.org/wiki/Category:Lincoln_Theatre_(Mount_Vernon,_Washington)"
1711,"Broadmoor, Seattle, Washington",neighborhood,"Washington,Pacific Northwest,Washington,Pacific States Region",47.63583333333333,122.28944444444444,"http://commons.wikimedia.org/wiki/Category:Broadmoor,_Seattle,_Washington"
2393,Steptoe Battlefield State Park,Washington state park,"Rosalia,Whitman County,Washington,Pacific Northwest,Washington,Pacific States Region",47.228500000000004,117.365,http://commons.wikimedia.org/wiki/Category:Steptoe_Battlefield_State_Park
2501,Cypress Island,island,"Washington,Skagit County,United States",48.57416666666667,122.70555555555556,http://commons.wikimedia.org/wiki/Category:Cypress_Island
2509,Mount Index,mountain,"Washington,King County,United States",47.77431111111111,121.58036944444444,http://commons.wikimedia.org/wiki/Category:Mount_Index
2532,"Yesler Terrace, Seattle, Washington",neighborhood,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.603611111111114,122.32083333333333,"http://commons.wikimedia.org/wiki/Category:Yesler_Terrace,_Seattle,_Washington"
2574,Carkeek Park,urban park,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.70953888888889,122.3718,http://commons.wikimedia.org/wiki/Category:Carkeek_Park
2791,Yakima Valley AVA,American Viticultural Area,"Washington,Pacific Northwest,Washington,Pacific States Region",46.3472,120.266,http://commons.wikimedia.org/wiki/Category:Yakima_Valley_AVA
2881,Mars Hill Church,church building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.6633,122.374,http://commons.wikimedia.org/wiki/Category:Mars_Hill_Church
2933,Lake Washington Ship Canal,canal,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.65601111111111,122.36713888888889,http://commons.wikimedia.org/wiki/Category:Lake_Washington_Ship_Canal
3763,Frank B. Cooper School,school building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.5625,122.35799999999999,http://commons.wikimedia.org/wiki/Category:Frank_B._Cooper_School
4161,"Union Station (Tacoma, Washington)",railway station,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region",47.24592222222223,122.43633611111112,"http://commons.wikimedia.org/wiki/Category:Union_Station_(Tacoma,_Washington)"
4270,Roosevelt Glacier,glacier,"Washington,Pacific Northwest,Washington,Pacific States Region",48.790299999999995,121.829,http://commons.wikimedia.org/wiki/Category:Roosevelt_Glacier
4283,Seattle Art Museum,art museum,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.60722222222223,122.33805555555556,http://commons.wikimedia.org/wiki/Category:Seattle_Art_Museum
4566,Mount Baker Ridge Tunnels,road tunnel,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.5903,122.29899999999999,http://commons.wikimedia.org/wiki/Category:Mount_Baker_Ridge_Tunnels
4985,"Rialto Theater in Tacoma, Washington",theatre building,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region",47.255,122.44,"http://commons.wikimedia.org/wiki/Category:Rialto_Theater_in_Tacoma,_Washington"
5196,North Dam,embankment dam,"Grant County,Washington,Pacific Northwest,Washington,Pacific States Region",47.940799999999996,119.017,http://commons.wikimedia.org/wiki/Category:North_Dam
5473,Fairfax Bridge,road bridge,"Washington,Pacific Northwest,Washington,Pacific States Region",47.0419,122.041,http://commons.wikimedia.org/wiki/Category:Fairfax_Bridge
5942,"Belltown, Seattle, Washington",neighborhood,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6132,122.34599999999999,"http://commons.wikimedia.org/wiki/Category:Belltown,_Seattle,_Washington"
6098,Bridge of the Gods,cantilever bridge,"Cascade Locks,Oregon,Washington,United States",45.6624,121.90100000000001,http://commons.wikimedia.org/wiki/Category:Bridge_of_the_Gods
6396,Kachess Lake,reservoir,"Kittitas County,Washington,United States",47.30779444444444,121.23240277777778,http://commons.wikimedia.org/wiki/Category:Kachess_Lake
6793,"Anderson Park, Redmond, Washington",urban park,"Redmond,King County,Washington,United States",47.672999999999995,122.11569999999999,"http://commons.wikimedia.org/wiki/Category:Anderson_Park,_Redmond,_Washington"
7206,Lime Kiln Lighthouse,lighthouse,"San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region",48.5158,123.152,http://commons.wikimedia.org/wiki/Category:Lime_Kiln_Lighthouse
7390,Conboy Lake National Wildlife Refuge,National Wildlife Refuge,"Washington,Pacific Northwest,Washington,Pacific States Region",45.958200000000005,121.318,http://commons.wikimedia.org/wiki/Category:Conboy_Lake_National_Wildlife_Refuge
7571,Neely Mansion,building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.300399999999996,122.17800000000001,http://commons.wikimedia.org/wiki/Category:Neely_Mansion
7948,Lake Easton State Park,Washington state park,"Kittitas County,Washington,Pacific Northwest,Washington,Pacific States Region",47.2554,121.20100000000001,http://commons.wikimedia.org/wiki/Category:Lake_Easton_State_Park
8397,Marymoor Park,protected area,"Redmond,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6592,122.109,http://commons.wikimedia.org/wiki/Category:Marymoor_Park
8549,Historic Flight Foundation,aviation museum,"Paine Field,Everett,Snohomish County,Washington,Pacific Northwest,Washington,Pacific States Region",47.901399999999995,122.2912,http://commons.wikimedia.org/wiki/Category:Historic_Flight_Foundation
8624,Marra Farm,park,"South Park,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.521699999999996,122.328,http://commons.wikimedia.org/wiki/Category:Marra_Farm
8837,Mount Si,mountain,"King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.5076,121.74,http://commons.wikimedia.org/wiki/Category:Mount_Si
9012,Giuseppe Garibaldi by Giovanni Turini,statue (full-length portrait),"Washington Square Park,Greenwich Village,Manhattan,New York City,New York",40.7304,73.9969,http://commons.wikimedia.org/wiki/Category:Giuseppe_Garibaldi_by_Giovanni_Turini
9432,Mount Pilchuck,mountain,"Washington,Snohomish County,United States",48.057761111111105,121.79776388888888,http://commons.wikimedia.org/wiki/Category:Mount_Pilchuck
9979,Franz Lake National Wildlife Refuge,National Wildlife Refuge,"Washington,Pacific Northwest,Washington,Pacific States Region",45.6051,122.078,http://commons.wikimedia.org/wiki/Category:Franz_Lake_National_Wildlife_Refuge
10549,Chihuly Garden and Glass,studio glass,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6206,122.35,http://commons.wikimedia.org/wiki/Category:Chihuly_Garden_and_Glass
10674,"Lotus (ship, 1909)",motor yacht,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6283,122.33699999999999,"http://commons.wikimedia.org/wiki/Category:Lotus_(ship,_1909)"
10688,Abraham Lincoln (Pullman car),passenger car,"Othello,Adams County,Washington,Pacific Northwest,Washington,Pacific States Region",46.83840277777778,119.04994166666667,http://commons.wikimedia.org/wiki/Category:Abraham_Lincoln_(Pullman_car)
11907,Oregon Country,administrative territorial entity,"Washington,Pacific Northwest,Washington,Pacific States Region",48.0,122.0,http://commons.wikimedia.org/wiki/Category:Oregon_Country
12468,Tumwater Falls,waterfall,"Tumwater,Thurston County,Washington,Pacific Northwest,Washington,Pacific States Region",47.0147,122.905,http://commons.wikimedia.org/wiki/Category:Tumwater_Falls
12725,Ravenna Park,urban park,"King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.67166666666667,122.30722222222222,http://commons.wikimedia.org/wiki/Category:Ravenna_Park
13534,Martin Stadium,stadium,"Washington State University,Pullman,Whitman County,Washington,Pacific Northwest,Washington,Pacific States Region",46.732,117.16000000000001,http://commons.wikimedia.org/wiki/Category:Martin_Stadium
13727,Skystone,glacial erratic boulder,"Washington,Pacific Northwest,Washington,Pacific States Region",47.15380833333333,122.19468611111111,http://commons.wikimedia.org/wiki/Category:Skystone
13777,Yashiro Japanese Garden,garden,"Washington,Pacific Northwest,Washington,Pacific States Region",47.0404,122.891,http://commons.wikimedia.org/wiki/Category:Yashiro_Japanese_Garden
14167,Seattle Children's Museum,museum,"Washington,Pacific Northwest,Washington,Pacific States Region",47.6214,122.351,http://commons.wikimedia.org/wiki/Category:Seattle_Children's_Museum
14304,Horse Heaven Hills,landform,"Washington,Pacific Northwest,Washington,Pacific States Region",46.13,119.86999999999999,http://commons.wikimedia.org/wiki/Category:Horse_Heaven_Hills
14674,"1611 Everett Avenue, Everett, Washington",community center,"Everett,Snohomish County,Washington,Pacific Northwest,Washington,Pacific States Region",47.9822,122.206,"http://commons.wikimedia.org/wiki/Category:1611_Everett_Avenue,_Everett,_Washington"
14754,Snow Lake (Mount Rainier),lake,"Lewis County,Washington,Pacific Northwest,Washington,Pacific States Region",46.7572,121.69800000000001,http://commons.wikimedia.org/wiki/Category:Snow_Lake_(Mount_Rainier)
14898,Hood Canal Bridge,road bridge,"Washington,Pacific Northwest,Washington,Pacific States Region",47.859722222222224,122.62444444444444,http://commons.wikimedia.org/wiki/Category:Hood_Canal_Bridge
15001,Deception Pass,strait,"Washington,Pacific Northwest,Washington,Pacific States Region",48.407180555555556,122.64466944444445,http://commons.wikimedia.org/wiki/Category:Deception_Pass
15063,Sephardic Bikur Holim Congregation,,"Washington,Pacific Northwest,Washington,Pacific States Region",47.5439,122.267,http://commons.wikimedia.org/wiki/Category:Sephardic_Bikur_Holim_Congregation
15228,Haleets Rock,,"Washington,Pacific Northwest,Washington,Pacific States Region",47.7186,122.544,http://commons.wikimedia.org/wiki/Category:Haleets_Rock
15806,Washington Valley Schoolhouse,school building,"Washington Valley,Morris Township,Morris County,New Jersey",40.8061,74.5311,http://commons.wikimedia.org/wiki/Category:Washington_Valley_Schoolhouse
15826,Lake Chelan-Sawtooth Wilderness,wilderness area,"Washington,Pacific Northwest,Washington,Pacific States Region",48.335,120.48100000000001,http://commons.wikimedia.org/wiki/Category:Lake_Chelan-Sawtooth_Wilderness
16502,"Capitol Theatre (Yakima, Washington)",theatre building,"Yakima,Yakima County,Washington,Pacific Northwest,Washington,Pacific States Region",46.6025,120.501,"http://commons.wikimedia.org/wiki/Category:Capitol_Theatre_(Yakima,_Washington)"
16516,Paccar Tower,architectural structure,"Washington,Pacific Northwest,Washington,Pacific States Region",47.617,122.2,http://commons.wikimedia.org/wiki/Category:Paccar_Tower
16690,Bloedel Reserve,botanical garden,"Bainbridge Island,Kitsap County,Washington,Pacific Northwest,Washington,Pacific States Region",47.7083,122.548,http://commons.wikimedia.org/wiki/Category:Bloedel_Reserve
16750,Cougar Mountain Zoo,zoo,"Washington,Pacific Northwest,Washington,Pacific States Region",47.553,122.081,http://commons.wikimedia.org/wiki/Category:Cougar_Mountain_Zoo
16975,T-Mobile Park,stadium,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.59138888888889,122.3325,http://commons.wikimedia.org/wiki/Category:T-Mobile_Park
17006,Sun Lakes %E2%80%94 Dry Falls State Park,Washington state park,"Grant County,Washington,Pacific Northwest,Washington,Pacific States Region",47.5964,119.36099999999999,http://commons.wikimedia.org/wiki/Category:Sun_Lakes_%E2%80%94_Dry_Falls_State_Park
17236,Olallie Lake,lake,"Skamania County,Washington,Pacific Northwest,Washington,Pacific States Region",46.2889,121.61699999999999,http://commons.wikimedia.org/wiki/Category:Olallie_Lake
17384,Home of the Good Shepherd,park,"Wallingford,Washington,Seattle,United States",47.6642,122.331,http://commons.wikimedia.org/wiki/Category:Home_of_the_Good_Shepherd
17684,Langston Hughes Performing Arts Center,theatre,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6014,122.31,http://commons.wikimedia.org/wiki/Category:Langston_Hughes_Performing_Arts_Center
17787,Thornewood,building,"Washington,Pacific Northwest,Washington,Pacific States Region",47.1301,122.551,http://commons.wikimedia.org/wiki/Category:Thornewood
17800,"Campbell Building, Kirkland",masonic temple,"Washington,Pacific Northwest,Washington,Pacific States Region",47.6808,122.208,"http://commons.wikimedia.org/wiki/Category:Campbell_Building,_Kirkland"
17826,Cape Disappointment State Park,Washington state park,"Long Beach Peninsula,Washington,Pacific Northwest,Washington,Pacific States Region",46.291199999999996,124.072,http://commons.wikimedia.org/wiki/Category:Cape_Disappointment_State_Park
18350,Admiralty Head Lighthouse,lighthouse,"Whidbey Island,Puget Sound,Washington,Pacific Northwest,Washington,Pacific States Region",48.16083333333333,122.68111111111112,http://commons.wikimedia.org/wiki/Category:Admiralty_Head_Lighthouse
18979,Seattle Cinerama,movie theater,"Belltown,Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region",47.6139,122.341,http://commons.wikimedia.org/wiki/Category:Seattle_Cinerama
19247,Seattle Public Library Capitol Hill Branch,library branch,"Capitol Hill,Seattle,Washington,United States",47.62293888888889,122.3223611111111,http://commons.wikimedia.org/wiki/Category:Seattle_Public_Library_Capitol_Hill_Branch
19572,Patos Island (Washington),island,"San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region",48.785,122.96640000000001,http://commons.wikimedia.org/wiki/Category:Patos_Island_(Washington)
19589,"Jefferson College (Washington, Mississippi)",historic district,"Washington,Adams County,Mississippi",31.592222222222222,91.29916666666666,"http://commons.wikimedia.org/wiki/Category:Jefferson_College_(Washington,_Mississippi)"
19855,"Pantages Theater, Tacoma, Washington",theatre,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region",47.25527777777778,122.43944444444445,"http://commons.wikimedia.org/wiki/Category:Pantages_Theater,_Tacoma,_Washington"
